Index,President,Year
0,Biden,2021
1,Biden,2022
2,Biden,2023
3,Biden,2024
4,Trump,2017
5,Trump,2018
6,Trump,2019
7,Trump,2020
8,Obama,2013
9,Obama,2014
10,Obama,2015
11,Obama,2016
12,Obama,2009
13,Obama,2010
14,Obama,2011
15,Obama,2012
16,Bush,2005
17,Bush,2006
18,Bush,2007
19,Bush,2008
20,Bush,2001
21,Bush,2002
22,Bush,2003
23,Bush,2004
24,Clinton,1997
25,Clinton,1998
26,Clinton,1999
27,Clinton,2000
28,Clinton,1993
29,Clinton,1994
30,Clinton,1995
31,Clinton,1996
32,Bush,1989
33,Bush,1990
34,Bush,1991
35,Bush,1992
36,Reagan,1985
37,Reagan,1986
38,Reagan,1987
39,Reagan,1988
40,Reagan,1981
41,Reagan,1982
42,Reagan,1983
43,Reagan,1984
44,Carter,1978
45,Carter,1979
46,Carter,1980